Time;Object;Staytime
18/10/2023 8:21:30;MAQUINA;3,620255
18/10/2023 8:21:39;MAQUINA;0,722853
18/10/2023 8:21:51;MAQUINA;2,196231
18/10/2023 8:21:53;MAQUINA2;3,000000
18/10/2023 8:22:17;MAQUINA;2,985055
18/10/2023 8:22:53;MAQUINA;3,379281
18/10/2023 8:22:57;MAQUINA;0,059279
18/10/2023 8:23:01;MAQUINA;3,746100
18/10/2023 8:23:03;MAQUINA2;2,000000
18/10/2023 8:23:27;MAQUINA;2,507234
18/10/2023 8:23:39;MAQUINA;0,873337
18/10/2023 8:23:47;MAQUINA;0,253701
18/10/2023 8:23:51;MAQUINA;0,944071
18/10/2023 8:24:00;MAQUINA;1,398050
18/10/2023 8:24:07;MAQUINA;3,302310
18/10/2023 8:24:11;MAQUINA;3,297630
18/10/2023 8:24:12;MAQUINA2;4,000000
18/10/2023 8:24:23;MAQUINA;3,248391
18/10/2023 8:24:33;MAQUINA;1,615822
18/10/2023 8:24:42;MAQUINA;2,608330
18/10/2023 8:24:54;MAQUINA;6,960564
18/10/2023 8:25:12;MAQUINA;1,931923
18/10/2023 8:25:17;MAQUINA;0,091980
18/10/2023 8:25:19;MAQUINA;1,325955
18/10/2023 8:25:34;MAQUINA;3,561291
18/10/2023 8:26:19;MAQUINA;4,847631
18/10/2023 8:26:42;MAQUINA;2,931761
18/10/2023 8:26:49;MAQUINA;0,635942
18/10/2023 8:26:51;MAQUINA2;2,000000
18/10/2023 8:26:57;MAQUINA;0,769291
18/10/2023 8:26:59;MAQUINA;0,405836
18/10/2023 8:27:13;MAQUINA;0,180612
18/10/2023 8:28:14;MAQUINA;3,969880
18/10/2023 8:28:15;MAQUINA2;4,000000
18/10/2023 8:28:22;MAQUINA;2,696045
18/10/2023 8:28:31;MAQUINA;2,665731
18/10/2023 8:28:37;MAQUINA;4,640699
18/10/2023 8:28:38;MAQUINA2;1,000000
18/10/2023 8:28:39;MAQUINA2;1,000000
18/10/2023 8:28:45;MAQUINA;6,863918
18/10/2023 8:29:57;MAQUINA;3,210409
18/10/2023 8:30:03;MAQUINA;2,636974
18/10/2023 8:30:20;MAQUINA;1,622607
18/10/2023 8:30:32;MAQUINA;5,711226
18/10/2023 8:30:33;MAQUINA2;2,000000
18/10/2023 8:30:50;MAQUINA;2,562854
18/10/2023 8:30:54;MAQUINA2;3,000000
18/10/2023 8:30:57;MAQUINA;6,228295
18/10/2023 8:31:06;MAQUINA;0,961601
18/10/2023 8:31:14;MAQUINA;5,533335
18/10/2023 8:31:14;MAQUINA2;3,000000
18/10/2023 8:31:17;MAQUINA;0,346168
18/10/2023 8:31:48;MAQUINA;0,021050
18/10/2023 8:32:16;MAQUINA;0,143904
18/10/2023 8:32:21;MAQUINA;0,805885
18/10/2023 8:32:22;MAQUINA2;2,000000
18/10/2023 8:32:23;MAQUINA;2,230904
18/10/2023 8:32:26;MAQUINA2;4,000000
18/10/2023 8:32:35;MAQUINA;6,349586
18/10/2023 8:32:36;MAQUINA2;2,000000
18/10/2023 8:32:40;MAQUINA;1,959394
18/10/2023 8:32:50;MAQUINA;3,901172
18/10/2023 8:33:04;MAQUINA;1,548497
18/10/2023 8:33:12;MAQUINA;0,103950
18/10/2023 8:33:38;MAQUINA;1,728313
